19 19 00
0001$01$0700,3$1069,5$1239,5$00:42:16
0002$01$0760,8$0905,5$1219,2$00:42:20
0003$01$0875,2$1118,3$1391,2$00:42:22
0004$01$0847,0$1083,1$1314,9$00:42:27
0005$01$0893,3$1105,3$1231,5$00:42:29
0006$01$0867,9$1019,9$1300,7$00:42:34
0007$01$0808,7$0923,1$1287,9$00:42:39
0008$01$0719,5$1087,9$1219,8$00:42:40
0009$01$0748,6$0957,5$1321,3$00:42:43
0010$01$0809,0$1035,0$1282,4$00:42:47
0011$01$0830,8$0997,3$1221,9$00:42:49
0012$01$0810,6$1007,8$1391,2$00:42:52
0013$01$0805,3$1083,7$1359,8$00:42:56
0014$01$0767,3$1174,5$1280,3$00:43:03
0015$01$0700,9$1026,0$1217,4$00:43:12
0016$01$0748,1$1056,9$1380,6$00:43:15
0017$01$0722,8$1022,0$1262,9$00:43:17
0018$01$0889,9$1162,9$1278,9$00:43:22
0019$01$0705,6$1007,2$1262,1$00:43:27
